scale_name,url,notes,signature
A Major Blues Scale,https://pulse.berklee.edu/scales/a-major-blues-scale.html,A B C C# E F#,3 sharps
Bb Major Blues Scale,https://pulse.berklee.edu/scales/b-flat-major-blues-scale.html,Bb C Db D F G,2 flats
B Major Blues Scale,https://pulse.berklee.edu/scales/b-major-blues-scale.html,B C# D D# F# G#,5 sharps
C Major Blues Scale,https://pulse.berklee.edu/scales/c-major-blues-scale.html,C D Eb E G A,0 flats or sharps
Db Major Blues Scale,https://pulse.berklee.edu/scales/d-flat-major-blues-scale.html,Db Eb Fb F Ab Bb,5 flats
D Major Blues Scale,https://pulse.berklee.edu/scales/d-major-blues-scale.html,D E F F# A B,2 sharps
Eb Major Blues Scale,https://pulse.berklee.edu/scales/e-flat-major-blues-scale.html,Eb F Gb G Bb C,3 flats
E Major Blues Scale,https://pulse.berklee.edu/scales/e-major-blues-scale.html,E F# G G# B C#,4 sharps
F Major Blues Scale,https://pulse.berklee.edu/scales/f-major-blues-scale.html,F G Ab A C D,1 flat
F# Major Blues Scale,https://pulse.berklee.edu/scales/f-sharp-major-blues-scale.html,F# G# A A# C# D#,6 sharps
G Major Blues Scale,https://pulse.berklee.edu/scales/g-major-blues-scale.html,G A Bb B D E,1 sharp
Ab Major Blues Scale,https://pulse.berklee.edu/scales/a-flat-major-blues-scale.html,Ab Bb Cb C Eb F,4 flats
A Minor Blues Scale,https://pulse.berklee.edu/scales/a-minor-blues-scale.html,A C D Eb E G,0 flats or sharps
Bb Minor Blues Scale,https://pulse.berklee.edu/scales/b-flat-minor-blues-scale.html,Bb Db Eb Fb F Ab,5 flats
B Minor Blues Scale,https://pulse.berklee.edu/scales/b-minor-blues-scale.html,B D E F F# A,2 sharps
C Minor Blues Scale,https://pulse.berklee.edu/scales/c-minor-blues-scale.html,C Eb F Gb G Bb,3 flats
C# Minor Blues Scale,https://pulse.berklee.edu/scales/c-sharp-minor-blues-scale.html,C# E F# G G# B,4 sharps
D Minor Blues Scale,https://pulse.berklee.edu/scales/d-minor-blues-scale.html,D F G Ab A C,1 flat
D# Minor Blues Scale,https://pulse.berklee.edu/scales/d-sharp-minor-blues-scale.html,D# F# G# A A# C#,6 sharps
E Minor Blues Scale,https://pulse.berklee.edu/scales/e-minor-blues-scale.html,E G A Bb B D,1 sharp
F Minor Blues Scale,https://pulse.berklee.edu/scales/f-minor-blues-scale.html,F Ab Bb Cb C Eb,4 flats
F# Minor Blues Scale,https://pulse.berklee.edu/scales/f-sharp-minor-blues-scale.html,F# A B C C# E,3 sharps
G Minor Blues Scale,https://pulse.berklee.edu/scales/g-minor-blues-scale.html,G Bb C Db D F,2 flats
G# Minor Blues Scale,https://pulse.berklee.edu/scales/g-sharp-minor-blues-scale.html,G# B C# D D# F#,5 sharps
